数据挖掘,"['Python', 'SQL', '数学/统计相关专业']",25-50K,硕士,北京
数据挖掘,"['Python', 'Scala', 'Shell', 'SQL', '深度学习算法', '推荐算法', '', '']",22-30K·15薪,硕士,深圳
数据挖掘,"['TensorFlow', 'PyTorch', 'GBDT']",15-20K,硕士,张掖
数据挖掘,"['计算机相关专业', '数学/统计相关专业', '大数据处理经验']",3-5K,大专,宝鸡
数据挖掘工程师,['数据挖掘'],20-40K·14薪,硕士,北京
数据挖掘,"['Python', '机器学习算法', 'Spark', 'Hadoop', 'SQL', '聚类分析', '', '']",25-40K·16薪,本科,上海
数据挖掘,"['Python', 'Scala', '深度学习算法', '推荐算法', '机器学习算法', '', '', '']",20-40K·14薪,硕士,北京
数据挖掘,"['Python', '深度学习算法', '机器学习算法', 'Spark', 'Hadoop', '', '', '']",35-40K·14薪,本科,上海
数据挖掘研究员,"['机器学习', 'Spark', '数据建模']",25-50K·14薪,学历不限,北京
数据挖掘工程师,"['Hive', '用户画像/标签体系相关经验', '数据分析', '', '', '', '', '']",7-10K·13薪,本科,西安
数据挖掘与分析工程师,"['SQL', '运营商行业', '电信', '联通']",9-14K·14薪,本科,郑州
北京-机器学习/数据挖掘/策略挖掘工程师,"['Python', 'Java', 'C++', '大数据处理经验', '机器学习/NLP经验', '']",20-40K·16薪,本科,北京
数据挖掘工程师-营销产品,['C++'],16-30K,本科,北京
数据挖掘算法工程师,"['Python', 'Scala', '深度学习算法', 'Spark', 'Hadoop', 'Streaming', '']",20-35K·16薪,硕士,芜湖
JD - DataScience 数据挖掘工程师,"['SQL', 'Python', '数学/统计相关专业', '大数据处理经验', '']",15-30K·13薪,本科,杭州
大数据开发工程师（数据挖掘）,"['Hadoop', '数据挖掘', '机器学习']",15-30K,本科,北京
大数据挖掘工程师,"['数据挖掘', '数据仓库', '数据分析', 'ETL', 'Python', 'SQL', '', '']",6-11K,本科,洛阳
招财猫招聘挖掘机司机,"['包吃', '挖掘机操作证', '通用型', '中型', '轮式挖掘机', '', '']",4-5K,学历不限,吉林
挖掘机设计师,"['设备仪器类', '工程设备/仪器']",8-12K,大专,青岛
二进制漏洞挖掘,"['二进制', '二进制漏洞', 'fuzz']",12-24K·13薪,本科,上海
Web安全工程师（漏洞挖掘方向）,"['漏洞挖掘', '代码审计', 'Python', 'Java', 'PHP', 'C/C++']",11-22K,学历不限,天津
拙政园林招聘挖掘机司机,"['五险', '包吃', '包住', '交通补助', '加班费', '工龄奖']",5-8K,学历不限,淄博
福建道通建设有限公司招聘挖掘机司机,['八小时工作制'],5-10K,学历不限,泉州
数据科学家,"['数据挖掘', '数据分析', 'Python', '大数据', '商业智能']",30-50K·16薪,硕士,北京
数据分析师,"['数据分析', 'Python', 'BI', 'SQL', '数据挖掘', '商业分析']",20-35K·16薪,本科,上海
风险大数据工程师,"['数据挖掘', '数据架构']",20-40K,本科,北京
数据专员,"['数据挖掘', '数据库开发', '数据分析']",6-12K,本科,上海
数据分析,"['数据分析', '数据挖掘']",8-10K·13薪,大专,福州
数据算法总监,"['hadoop', '数据挖掘', '大数据算法']",40-65K,本科,深圳
数据分析师,"['SQL', 'Python', 'Hive', '数学/统计相关专业', '数据分析/挖掘经验', '', '', '', '']",5-10K,本科,德州
数据分析师,"['ETL', 'Python', 'DBA', 'BI', '数据分析', '数据挖掘', '数据仓库', '']",9-14K·13薪,本科,上海
数据工程师(爬虫),"['网络爬虫技术', '网络协议', '数据挖掘', 'Python', 'SQL', '', '', '']",15-28K·14薪,本科,北京
中级数据库工程师,"['数据库开发', '数据挖掘', '数据分析', 'SQL']",5-10K·13薪,大专,南通
数据分析师,"['数据分析', 'MySQL', '数据挖掘']",10-16K,本科,上海
数据分析师,"['数据分析', '数据挖掘', '大数据', '人工智能', '', '', '']",9-14K,本科,长沙
数据开发工程师,"['数据仓库', '数据开发', '数据挖掘', '数据分析', 'SQL', 'Python', '', '']",15-30K,本科,北京
数据开发工程师,"['数据仓库', '数据库开发', '数据挖掘', 'SQL', 'Java', 'Python', '', '']",15-30K,本科,北京
