职位名称,技能,薪资,学历要求,地区
交通安全科研人员,"['科研研发', '交通安全']",10-15K,硕士,北京
海外app运营,"['C端用户', '用户同理心强', '留学生优先', '英美留学生']",50-150元/时,本科,北京
资深Modem测试工程师(协议测试方向),"['5G', 'LTE', 'IMS']",30-50K,硕士,北京
前端开发工程师,"['前端开发', 'Node.js', 'JavaScript', 'CSS', 'HTML', 'React']",13-20K·13薪,本科,北京
FPGA工程师,"['FPGA开发', 'DSP开发']",12-20K,本科,北京
网络客服专员,"['含有销售的客服工作', '倒班工作制', '办公室坐班', '全职']",5-9K,学历不限,北京
电商CRM运营,"['用户画像与分层', '社群搭建与维护', 'C端用户', '数据分析能力好']",10-15K·13薪,本科,北京
销售,"['电话销售', '大客户销售']",10-15K,本科,北京
项目管理经理,['管理'],9-14K,本科,北京
产品运营,"['B端产品', 'C端产品', '平台类', '工具类', '金融', '银行']",10-13K,本科,北京
信息流优化师,"['信息流', '头条', '小说']",10-15K,本科,北京
创新产品召集人（AI方向） (MJ001391),"['AI产品', '创新业务负责人']",40-55K·15薪,学历不限,北京
JAVA工程师,"['全栈工程师', '分布式系统开发经验', 'Java开发经验']",20-35K,本科,北京
QGIS开发工程师,['Gdal'],15-30K,本科,北京
客户经理,"['AE', 'AM', '新媒体广告']",10-15K,本科,北京
课程顾问,"['全职工作', '课程顾问']",10-15K,本科,北京
电商运营经理,"['B2C国内电商', 'B2C跨境电商', 'B2C电商运营', '电商客服']",15-30K·14薪,本科,北京
cocos游戏开发工程师,"['cocos2dx', 'lua']",15-20K,本科,北京
系统集成工程师(J9633),"['系统构建', 'ｈａｌ开发']",30-60K,本科,北京
理财顾问,"['银行', '信托', '资产/财富管理', '对高净值客户销售']",20-40K,本科,北京
照明设计总监,"['光源与照明工程', '照明设计总监', '泛光照明']",25-35K,本科,北京
策略中台高级算法工程师,"['深度学习算法', '供需预测模型', '机器学习算法', '强化学习']",20-40K·15薪,本科,北京
厨师长(连锁餐饮企业）,"['中餐', '火锅', '自助餐/快餐', '3-5年', '301-1000平米']",10-15K,学历不限,北京
供应链产品经理,"['物流配送', '供应链产品', '物流产品', 'TOB', 'TMS', '开放平台']",25-50K·16薪,本科,北京
CAD设计/制图,"['CAD', '酷家乐', '视觉设计', '包装设计', '主案设计师', '装饰装修']",4-6K,学历不限,北京
Android工程师（工作地:北京或南京）,['Android'],30-35K,本科,北京
平面设计师,"['平面设计', '手绘', '美工', '电子商务', '视觉设计', 'VI设计']",7-10K·13薪,本科,北京
高级攻防渗透工程师,"['计算机/信息安全相关专业', '渗透测试经验', '攻防对抗经验']",20-40K·15薪,大专,北京
数字电路验证工程师,"['电子半导体', 'C++', 'C语言', 'Python']",25-50K·15薪,本科,北京
美甲美睫师,['绩效奖金'],8-12K,学历不限,北京
制冷工程师,"['机电一体化', '工程安装', '机械设计']",8-12K,中专/中技,上海
家具设计师,"['酷家乐', 'CAD', '3D渲染']",5-6K,大专,上海
前端开发工程师,"['JavaScript', 'Vue', 'React', '计算机/软件工程相关专业']",12-15K,本科,上海
数据分析/商业分析实习生+应届,"['Excel', 'SQL', 'Python', '方差分析', '回归分析', '多元统计分析']",150-250元/天,本科,上海
运维开发工程师,"['桌面运维', '网络设备', '计算机软件', '系统运维', '机房运维']",4-5K,大专,上海
数据专员,"['数学/统计相关专业', '计算机相关专业', '数据分析/挖掘经验']",5-7K,大专,上海
安防项目经理,"['PMP', '系统集成项目管理工程师', '信息系统项目管理师']",11-22K,大专,上海
售前工程师,"['技术沟通', '网络交换技术']",15-30K·13薪,大专,上海
游戏客户端研发(LayaBox)-猫粮工作室,"['TypeScript', 'HTML5', 'LayaBox', 'JavaScript', '游戏前端']",15-25K·14薪,本科,上海
泓集国际物流有限公司招聘货运代理专员,"['海运', '周末双休', '年终奖', '八小时工作制', '五险一金']",4-6K,大专,上海
双美店长（轻医美+生美运营）,"['综合性美容机构', '销售经验']",20-30K,中专/中技,上海
活动主持,"['餐补', '带薪年假', '免费宿舍', '年终奖', '交通补助', '团建旅游']",7-9K·13薪,中专/中技,上海
项目助理,"['项目专员', '需求采集', '需求分析评估', '产品开发']",4-7K,本科,上海
国民链家+招募储备管理干部+接受实习生,"['个人（ToC）', '应届生', '无经验要求', '销售', '实习生']",240-260元/天,本科,上海
CNC编程与操机,"['五险', '包吃', '夜班补助', '加班费']",7-12K,学历不限,上海
技术支持运维工程师,"['软件测试', 'Linux', '性能测试', '功能测试']",7-10K·14薪,本科,上海
张裕中高端红酒销售,"['个人（ToC）', '客户邀约', '普通话标准', '沟通能力强']",15-30K,中专/中技,上海
药店药师,"['执业中药师证', '医药领域', '医疗卫生', '执业西药师证']",6-7K·14薪,大专,上海
直播运营经理,"['直播运营', '直播', '电子商务', '短视频运营', '抖音运营']",15-30K,本科,上海
外贸服装跟单,"['外贸跟单', '外企工作经验']",15-22K·13薪,本科,上海
做一天结一天校对录入,['八小时工作制'],6-8K,学历不限,上海
专利工程师助理/专利代理人助理,"['知识产权项目申报', '知识产权工程师', '专利代理人']",6-10K·13薪,本科,上海
cad机械制图员,"['机械结构图', 'AutoCAD']",3-6K·13薪,大专,上海
通信基带算法工程师,['算法'],30-35K·14薪,硕士,上海
莳怡自动化招聘磨工,"['平面磨床', '工具磨床', '1-3年经验', '月结']",8-10K,中专/中技,上海
质量体系工程师,"['IATF16949', 'ISO9001', '内审员资格证']",15-25K·15薪,本科,上海
汽车销售顾问,"['汽车服务顾问', '4S店销售', '销售专员']",30-50K,中专/中技,上海
水处理工艺设计工程师,['水处理'],10-15K,本科,上海
